"Campaign","Campaign Status","Campaign Type","Networks","Daily Budget","Budget Type","Start Date","End Date","Bid Strategy Type","Campaign URL Options (Tracking Template)","Final URL Suffix","Campaign Language"
10K ZIP Campaign - 2025-12-05,Enabled,Search,Search Network,,,,,,,,en

"Campaign","Setting","Value"

"Budget","Budget Amount","Delivery Method","Budget ID"
10K ZIP Campaign - 2025-12-05,15603,Postal Code,
10K ZIP Campaign - 2025-12-05,15618,Postal Code,
10K ZIP Campaign - 2025-12-05,15636,Postal Code,
10K ZIP Campaign - 2025-12-05,15644,Postal Code,
10K ZIP Campaign - 2025-12-05,15651,Postal Code,
10K ZIP Campaign - 2025-12-05,15653,Postal Code,
10K ZIP Campaign - 2025-12-05,15655,Postal Code,
10K ZIP Campaign - 2025-12-05,15674,Postal Code,
10K ZIP Campaign - 2025-12-05,15684,Postal Code,
10K ZIP Campaign - 2025-12-05,15689,Postal Code,
10K ZIP Campaign - 2025-12-05,15701,Postal Code,
10K ZIP Campaign - 2025-12-05,15711,Postal Code,
10K ZIP Campaign - 2025-12-05,15728,Postal Code,
10K ZIP Campaign - 2025-12-05,15745,Postal Code,
10K ZIP Campaign - 2025-12-05,15754,Postal Code,
10K ZIP Campaign - 2025-12-05,15760,Postal Code,
10K ZIP Campaign - 2025-12-05,15773,Postal Code,
10K ZIP Campaign - 2025-12-05,15778,Postal Code,
10K ZIP Campaign - 2025-12-05,15786,Postal Code,
10K ZIP Campaign - 2025-12-05,15788,Postal Code,
10K ZIP Campaign - 2025-12-05,15798,Postal Code,
10K ZIP Campaign - 2025-12-05,15801,Postal Code,
10K ZIP Campaign - 2025-12-05,15812,Postal Code,
10K ZIP Campaign - 2025-12-05,15813,Postal Code,
10K ZIP Campaign - 2025-12-05,15816,Postal Code,
10K ZIP Campaign - 2025-12-05,15826,Postal Code,
10K ZIP Campaign - 2025-12-05,15835,Postal Code,
10K ZIP Campaign - 2025-12-05,15847,Postal Code,
10K ZIP Campaign - 2025-12-05,15875,Postal Code,
10K ZIP Campaign - 2025-12-05,15876,Postal Code,
10K ZIP Campaign - 2025-12-05,15881,Postal Code,
10K ZIP Campaign - 2025-12-05,15886,Postal Code,
10K ZIP Campaign - 2025-12-05,15895,Postal Code,
10K ZIP Campaign - 2025-12-05,15896,Postal Code,
10K ZIP Campaign - 2025-12-05,15903,Postal Code,
10K ZIP Campaign - 2025-12-05,15914,Postal Code,
10K ZIP Campaign - 2025-12-05,15918,Postal Code,
10K ZIP Campaign - 2025-12-05,15920,Postal Code,
10K ZIP Campaign - 2025-12-05,15921,Postal Code,
10K ZIP Campaign - 2025-12-05,15924,Postal Code,
10K ZIP Campaign - 2025-12-05,15929,Postal Code,
10K ZIP Campaign - 2025-12-05,15936,Postal Code,
10K ZIP Campaign - 2025-12-05,15949,Postal Code,
10K ZIP Campaign - 2025-12-05,15957,Postal Code,
10K ZIP Campaign - 2025-12-05,15961,Postal Code,
10K ZIP Campaign - 2025-12-05,15964,Postal Code,
10K ZIP Campaign - 2025-12-05,15976,Postal Code,
10K ZIP Campaign - 2025-12-05,16007,Postal Code,
10K ZIP Campaign - 2025-12-05,16018,Postal Code,
10K ZIP Campaign - 2025-12-05,16041,Postal Code,
10K ZIP Campaign - 2025-12-05,16053,Postal Code,
10K ZIP Campaign - 2025-12-05,16062,Postal Code,
10K ZIP Campaign - 2025-12-05,16073,Postal Code,
10K ZIP Campaign - 2025-12-05,16095,Postal Code,
10K ZIP Campaign - 2025-12-05,16139,Postal Code,
10K ZIP Campaign - 2025-12-05,16145,Postal Code,
10K ZIP Campaign - 2025-12-05,16146,Postal Code,
10K ZIP Campaign - 2025-12-05,16153,Postal Code,
10K ZIP Campaign - 2025-12-05,16218,Postal Code,
10K ZIP Campaign - 2025-12-05,16227,Postal Code,
10K ZIP Campaign - 2025-12-05,16237,Postal Code,
10K ZIP Campaign - 2025-12-05,16250,Postal Code,
10K ZIP Campaign - 2025-12-05,16256,Postal Code,
10K ZIP Campaign - 2025-12-05,16264,Postal Code,
10K ZIP Campaign - 2025-12-05,16273,Postal Code,
10K ZIP Campaign - 2025-12-05,16276,Postal Code,
10K ZIP Campaign - 2025-12-05,16355,Postal Code,
10K ZIP Campaign - 2025-12-05,16374,Postal Code,
10K ZIP Campaign - 2025-12-05,16375,Postal Code,
10K ZIP Campaign - 2025-12-05,16393,Postal Code,
10K ZIP Campaign - 2025-12-05,16398,Postal Code,
10K ZIP Campaign - 2025-12-05,16405,Postal Code,
10K ZIP Campaign - 2025-12-05,16419,Postal Code,
10K ZIP Campaign - 2025-12-05,16440,Postal Code,
10K ZIP Campaign - 2025-12-05,16449,Postal Code,
10K ZIP Campaign - 2025-12-05,16482,Postal Code,
10K ZIP Campaign - 2025-12-05,16490,Postal Code,
10K ZIP Campaign - 2025-12-05,16505,Postal Code,
10K ZIP Campaign - 2025-12-05,16506,Postal Code,
10K ZIP Campaign - 2025-12-05,16511,Postal Code,
10K ZIP Campaign - 2025-12-05,16542,Postal Code,
10K ZIP Campaign - 2025-12-05,16551,Postal Code,
10K ZIP Campaign - 2025-12-05,16558,Postal Code,
10K ZIP Campaign - 2025-12-05,16582,Postal Code,
10K ZIP Campaign - 2025-12-05,16583,Postal Code,
10K ZIP Campaign - 2025-12-05,16600,Postal Code,
10K ZIP Campaign - 2025-12-05,16601,Postal Code,
10K ZIP Campaign - 2025-12-05,16606,Postal Code,
10K ZIP Campaign - 2025-12-05,16623,Postal Code,
10K ZIP Campaign - 2025-12-05,16670,Postal Code,
10K ZIP Campaign - 2025-12-05,16677,Postal Code,
10K ZIP Campaign - 2025-12-05,16701,Postal Code,
10K ZIP Campaign - 2025-12-05,16703,Postal Code,
10K ZIP Campaign - 2025-12-05,16717,Postal Code,
10K ZIP Campaign - 2025-12-05,16719,Postal Code,
10K ZIP Campaign - 2025-12-05,16720,Postal Code,
10K ZIP Campaign - 2025-12-05,16731,Postal Code,
10K ZIP Campaign - 2025-12-05,16741,Postal Code,
10K ZIP Campaign - 2025-12-05,16744,Postal Code,
10K ZIP Campaign - 2025-12-05,16750,Postal Code,
10K ZIP Campaign - 2025-12-05,16758,Postal Code,
10K ZIP Campaign - 2025-12-05,16767,Postal Code,
10K ZIP Campaign - 2025-12-05,16770,Postal Code,
10K ZIP Campaign - 2025-12-05,16771,Postal Code,
10K ZIP Campaign - 2025-12-05,16795,Postal Code,
10K ZIP Campaign - 2025-12-05,16814,Postal Code,
10K ZIP Campaign - 2025-12-05,16819,Postal Code,
10K ZIP Campaign - 2025-12-05,16828,Postal Code,
10K ZIP Campaign - 2025-12-05,16835,Postal Code,
10K ZIP Campaign - 2025-12-05,16836,Postal Code,
10K ZIP Campaign - 2025-12-05,16858,Postal Code,
10K ZIP Campaign - 2025-12-05,16859,Postal Code,
10K ZIP Campaign - 2025-12-05,16874,Postal Code,
10K ZIP Campaign - 2025-12-05,16881,Postal Code,
10K ZIP Campaign - 2025-12-05,16925,Postal Code,
10K ZIP Campaign - 2025-12-05,16930,Postal Code,
10K ZIP Campaign - 2025-12-05,16931,Postal Code,
10K ZIP Campaign - 2025-12-05,16935,Postal Code,
10K ZIP Campaign - 2025-12-05,16962,Postal Code,
10K ZIP Campaign - 2025-12-05,16981,Postal Code,
10K ZIP Campaign - 2025-12-05,17031,Postal Code,
10K ZIP Campaign - 2025-12-05,17038,Postal Code,
10K ZIP Campaign - 2025-12-05,17049,Postal Code,
10K ZIP Campaign - 2025-12-05,17050,Postal Code,
10K ZIP Campaign - 2025-12-05,17055,Postal Code,
10K ZIP Campaign - 2025-12-05,17102,Postal Code,
10K ZIP Campaign - 2025-12-05,17104,Postal Code,
10K ZIP Campaign - 2025-12-05,17116,Postal Code,
10K ZIP Campaign - 2025-12-05,17118,Postal Code,
10K ZIP Campaign - 2025-12-05,17124,Postal Code,
10K ZIP Campaign - 2025-12-05,17126,Postal Code,
10K ZIP Campaign - 2025-12-05,17148,Postal Code,
10K ZIP Campaign - 2025-12-05,17159,Postal Code,
10K ZIP Campaign - 2025-12-05,17169,Postal Code,
10K ZIP Campaign - 2025-12-05,17171,Postal Code,
10K ZIP Campaign - 2025-12-05,17183,Postal Code,
10K ZIP Campaign - 2025-12-05,17209,Postal Code,
10K ZIP Campaign - 2025-12-05,17212,Postal Code,
10K ZIP Campaign - 2025-12-05,17225,Postal Code,
10K ZIP Campaign - 2025-12-05,17229,Postal Code,
10K ZIP Campaign - 2025-12-05,17235,Postal Code,
10K ZIP Campaign - 2025-12-05,17241,Postal Code,
10K ZIP Campaign - 2025-12-05,17251,Postal Code,
10K ZIP Campaign - 2025-12-05,17267,Postal Code,
10K ZIP Campaign - 2025-12-05,17288,Postal Code,
10K ZIP Campaign - 2025-12-05,17297,Postal Code,
10K ZIP Campaign - 2025-12-05,17310,Postal Code,
10K ZIP Campaign - 2025-12-05,17315,Postal Code,
10K ZIP Campaign - 2025-12-05,17316,Postal Code,
10K ZIP Campaign - 2025-12-05,17329,Postal Code,
10K ZIP Campaign - 2025-12-05,17338,Postal Code,
10K ZIP Campaign - 2025-12-05,17365,Postal Code,
10K ZIP Campaign - 2025-12-05,17366,Postal Code,
10K ZIP Campaign - 2025-12-05,17368,Postal Code,
10K ZIP Campaign - 2025-12-05,17371,Postal Code,
10K ZIP Campaign - 2025-12-05,17395,Postal Code,
10K ZIP Campaign - 2025-12-05,17411,Postal Code,
10K ZIP Campaign - 2025-12-05,17416,Postal Code,
10K ZIP Campaign - 2025-12-05,17428,Postal Code,
10K ZIP Campaign - 2025-12-05,17429,Postal Code,
10K ZIP Campaign - 2025-12-05,17433,Postal Code,
10K ZIP Campaign - 2025-12-05,17452,Postal Code,
10K ZIP Campaign - 2025-12-05,17466,Postal Code,
10K ZIP Campaign - 2025-12-05,17497,Postal Code,
10K ZIP Campaign - 2025-12-05,17498,Postal Code,
10K ZIP Campaign - 2025-12-05,17508,Postal Code,
10K ZIP Campaign - 2025-12-05,17510,Postal Code,
10K ZIP Campaign - 2025-12-05,17529,Postal Code,
10K ZIP Campaign - 2025-12-05,17549,Postal Code,
10K ZIP Campaign - 2025-12-05,17554,Postal Code,
10K ZIP Campaign - 2025-12-05,17558,Postal Code,
10K ZIP Campaign - 2025-12-05,17581,Postal Code,
10K ZIP Campaign - 2025-12-05,17583,Postal Code,
10K ZIP Campaign - 2025-12-05,17591,Postal Code,
10K ZIP Campaign - 2025-12-05,17614,Postal Code,
10K ZIP Campaign - 2025-12-05,17619,Postal Code,
10K ZIP Campaign - 2025-12-05,17620,Postal Code,
10K ZIP Campaign - 2025-12-05,17622,Postal Code,
10K ZIP Campaign - 2025-12-05,17664,Postal Code,
10K ZIP Campaign - 2025-12-05,17679,Postal Code,
10K ZIP Campaign - 2025-12-05,17689,Postal Code,
10K ZIP Campaign - 2025-12-05,17710,Postal Code,
10K ZIP Campaign - 2025-12-05,17713,Postal Code,
10K ZIP Campaign - 2025-12-05,17741,Postal Code,
10K ZIP Campaign - 2025-12-05,17753,Postal Code,
10K ZIP Campaign - 2025-12-05,17759,Postal Code,
10K ZIP Campaign - 2025-12-05,17767,Postal Code,
10K ZIP Campaign - 2025-12-05,17772,Postal Code,
10K ZIP Campaign - 2025-12-05,17795,Postal Code,
10K ZIP Campaign - 2025-12-05,17800,Postal Code,
10K ZIP Campaign - 2025-12-05,17814,Postal Code,
10K ZIP Campaign - 2025-12-05,17838,Postal Code,
10K ZIP Campaign - 2025-12-05,17853,Postal Code,
10K ZIP Campaign - 2025-12-05,17854,Postal Code,
10K ZIP Campaign - 2025-12-05,17855,Postal Code,
10K ZIP Campaign - 2025-12-05,17857,Postal Code,
10K ZIP Campaign - 2025-12-05,17867,Postal Code,
10K ZIP Campaign - 2025-12-05,17875,Postal Code,
10K ZIP Campaign - 2025-12-05,17879,Postal Code,
10K ZIP Campaign - 2025-12-05,17897,Postal Code,
10K ZIP Campaign - 2025-12-05,17899,Postal Code,
10K ZIP Campaign - 2025-12-05,17969,Postal Code,
10K ZIP Campaign - 2025-12-05,17978,Postal Code,
10K ZIP Campaign - 2025-12-05,17997,Postal Code,
10K ZIP Campaign - 2025-12-05,18003,Postal Code,
10K ZIP Campaign - 2025-12-05,18011,Postal Code,
10K ZIP Campaign - 2025-12-05,18029,Postal Code,
10K ZIP Campaign - 2025-12-05,18039,Postal Code,
10K ZIP Campaign - 2025-12-05,18048,Postal Code,
10K ZIP Campaign - 2025-12-05,18084,Postal Code,
10K ZIP Campaign - 2025-12-05,18089,Postal Code,
10K ZIP Campaign - 2025-12-05,18090,Postal Code,
10K ZIP Campaign - 2025-12-05,18095,Postal Code,
10K ZIP Campaign - 2025-12-05,18103,Postal Code,
10K ZIP Campaign - 2025-12-05,18119,Postal Code,
10K ZIP Campaign - 2025-12-05,18127,Postal Code,
10K ZIP Campaign - 2025-12-05,18148,Postal Code,
10K ZIP Campaign - 2025-12-05,18152,Postal Code,
10K ZIP Campaign - 2025-12-05,18155,Postal Code,
10K ZIP Campaign - 2025-12-05,18158,Postal Code,
10K ZIP Campaign - 2025-12-05,18162,Postal Code,
10K ZIP Campaign - 2025-12-05,18169,Postal Code,
10K ZIP Campaign - 2025-12-05,18170,Postal Code,
10K ZIP Campaign - 2025-12-05,18175,Postal Code,
10K ZIP Campaign - 2025-12-05,18180,Postal Code,
10K ZIP Campaign - 2025-12-05,18181,Postal Code,
10K ZIP Campaign - 2025-12-05,18199,Postal Code,
10K ZIP Campaign - 2025-12-05,18206,Postal Code,
10K ZIP Campaign - 2025-12-05,18215,Postal Code,
10K ZIP Campaign - 2025-12-05,18219,Postal Code,
10K ZIP Campaign - 2025-12-05,18229,Postal Code,
10K ZIP Campaign - 2025-12-05,18249,Postal Code,
10K ZIP Campaign - 2025-12-05,18254,Postal Code,
10K ZIP Campaign - 2025-12-05,18272,Postal Code,
10K ZIP Campaign - 2025-12-05,18275,Postal Code,
10K ZIP Campaign - 2025-12-05,18283,Postal Code,
10K ZIP Campaign - 2025-12-05,18284,Postal Code,
10K ZIP Campaign - 2025-12-05,18315,Postal Code,
10K ZIP Campaign - 2025-12-05,18328,Postal Code,
10K ZIP Campaign - 2025-12-05,18337,Postal Code,
10K ZIP Campaign - 2025-12-05,18343,Postal Code,
10K ZIP Campaign - 2025-12-05,18350,Postal Code,
10K ZIP Campaign - 2025-12-05,18353,Postal Code,
10K ZIP Campaign - 2025-12-05,18357,Postal Code,
10K ZIP Campaign - 2025-12-05,18363,Postal Code,
10K ZIP Campaign - 2025-12-05,18371,Postal Code,
10K ZIP Campaign - 2025-12-05,18386,Postal Code,
10K ZIP Campaign - 2025-12-05,18388,Postal Code,
10K ZIP Campaign - 2025-12-05,18396,Postal Code,
10K ZIP Campaign - 2025-12-05,18403,Postal Code,
10K ZIP Campaign - 2025-12-05,18421,Postal Code,
10K ZIP Campaign - 2025-12-05,18427,Postal Code,
10K ZIP Campaign - 2025-12-05,18429,Postal Code,
10K ZIP Campaign - 2025-12-05,18448,Postal Code,
10K ZIP Campaign - 2025-12-05,18453,Postal Code,
10K ZIP Campaign - 2025-12-05,18471,Postal Code,
10K ZIP Campaign - 2025-12-05,18472,Postal Code,
10K ZIP Campaign - 2025-12-05,18477,Postal Code,
10K ZIP Campaign - 2025-12-05,18489,Postal Code,
10K ZIP Campaign - 2025-12-05,18495,Postal Code,
10K ZIP Campaign - 2025-12-05,18496,Postal Code,
10K ZIP Campaign - 2025-12-05,18505,Postal Code,
10K ZIP Campaign - 2025-12-05,18511,Postal Code,
10K ZIP Campaign - 2025-12-05,18523,Postal Code,
10K ZIP Campaign - 2025-12-05,18527,Postal Code,
10K ZIP Campaign - 2025-12-05,18530,Postal Code,
10K ZIP Campaign - 2025-12-05,18542,Postal Code,
10K ZIP Campaign - 2025-12-05,18548,Postal Code,
10K ZIP Campaign - 2025-12-05,18551,Postal Code,
10K ZIP Campaign - 2025-12-05,18552,Postal Code,
10K ZIP Campaign - 2025-12-05,18577,Postal Code,
10K ZIP Campaign - 2025-12-05,18578,Postal Code,
10K ZIP Campaign - 2025-12-05,18603,Postal Code,
10K ZIP Campaign - 2025-12-05,18609,Postal Code,
10K ZIP Campaign - 2025-12-05,18617,Postal Code,
10K ZIP Campaign - 2025-12-05,18639,Postal Code,
10K ZIP Campaign - 2025-12-05,18640,Postal Code,
10K ZIP Campaign - 2025-12-05,18657,Postal Code,
10K ZIP Campaign - 2025-12-05,18660,Postal Code,
10K ZIP Campaign - 2025-12-05,18662,Postal Code,
10K ZIP Campaign - 2025-12-05,18667,Postal Code,
10K ZIP Campaign - 2025-12-05,18693,Postal Code,
10K ZIP Campaign - 2025-12-05,18702,Postal Code,
10K ZIP Campaign - 2025-12-05,18713,Postal Code,
10K ZIP Campaign - 2025-12-05,18742,Postal Code,
10K ZIP Campaign - 2025-12-05,18744,Postal Code,
10K ZIP Campaign - 2025-12-05,18746,Postal Code,
10K ZIP Campaign - 2025-12-05,18751,Postal Code,
10K ZIP Campaign - 2025-12-05,18761,Postal Code,
10K ZIP Campaign - 2025-12-05,18770,Postal Code,
10K ZIP Campaign - 2025-12-05,18794,Postal Code,
10K ZIP Campaign - 2025-12-05,18799,Postal Code,
10K ZIP Campaign - 2025-12-05,18805,Postal Code,
10K ZIP Campaign - 2025-12-05,18833,Postal Code,
10K ZIP Campaign - 2025-12-05,18835,Postal Code,
10K ZIP Campaign - 2025-12-05,18843,Postal Code,
10K ZIP Campaign - 2025-12-05,18863,Postal Code,
10K ZIP Campaign - 2025-12-05,18873,Postal Code,
10K ZIP Campaign - 2025-12-05,18874,Postal Code,
10K ZIP Campaign - 2025-12-05,18877,Postal Code,
10K ZIP Campaign - 2025-12-05,18888,Postal Code,
10K ZIP Campaign - 2025-12-05,18892,Postal Code,
10K ZIP Campaign - 2025-12-05,18898,Postal Code,
10K ZIP Campaign - 2025-12-05,18907,Postal Code,
10K ZIP Campaign - 2025-12-05,18918,Postal Code,
10K ZIP Campaign - 2025-12-05,18923,Postal Code,
10K ZIP Campaign - 2025-12-05,18943,Postal Code,
10K ZIP Campaign - 2025-12-05,18950,Postal Code,
10K ZIP Campaign - 2025-12-05,18975,Postal Code,
10K ZIP Campaign - 2025-12-05,18979,Postal Code,
10K ZIP Campaign - 2025-12-05,18984,Postal Code,
10K ZIP Campaign - 2025-12-05,19001,Postal Code,
10K ZIP Campaign - 2025-12-05,19014,Postal Code,
10K ZIP Campaign - 2025-12-05,19027,Postal Code,
10K ZIP Campaign - 2025-12-05,19029,Postal Code,
10K ZIP Campaign - 2025-12-05,19034,Postal Code,
10K ZIP Campaign - 2025-12-05,19046,Postal Code,
10K ZIP Campaign - 2025-12-05,19047,Postal Code,
10K ZIP Campaign - 2025-12-05,19049,Postal Code,
10K ZIP Campaign - 2025-12-05,19056,Postal Code,
10K ZIP Campaign - 2025-12-05,19059,Postal Code,
10K ZIP Campaign - 2025-12-05,19085,Postal Code,
10K ZIP Campaign - 2025-12-05,19087,Postal Code,
10K ZIP Campaign - 2025-12-05,19091,Postal Code,
10K ZIP Campaign - 2025-12-05,19094,Postal Code,
10K ZIP Campaign - 2025-12-05,19101,Postal Code,
10K ZIP Campaign - 2025-12-05,19102,Postal Code,
10K ZIP Campaign - 2025-12-05,19116,Postal Code,
10K ZIP Campaign - 2025-12-05,19137,Postal Code,
10K ZIP Campaign - 2025-12-05,19146,Postal Code,
10K ZIP Campaign - 2025-12-05,19150,Postal Code,
10K ZIP Campaign - 2025-12-05,19169,Postal Code,
10K ZIP Campaign - 2025-12-05,19170,Postal Code,
10K ZIP Campaign - 2025-12-05,19178,Postal Code,
10K ZIP Campaign - 2025-12-05,19191,Postal Code,
10K ZIP Campaign - 2025-12-05,19218,Postal Code,
10K ZIP Campaign - 2025-12-05,19229,Postal Code,
10K ZIP Campaign - 2025-12-05,19247,Postal Code,
10K ZIP Campaign - 2025-12-05,19274,Postal Code,
10K ZIP Campaign - 2025-12-05,19285,Postal Code,
10K ZIP Campaign - 2025-12-05,19290,Postal Code,
10K ZIP Campaign - 2025-12-05,19291,Postal Code,
10K ZIP Campaign - 2025-12-05,19300,Postal Code,
10K ZIP Campaign - 2025-12-05,19331,Postal Code,
10K ZIP Campaign - 2025-12-05,19337,Postal Code,
10K ZIP Campaign - 2025-12-05,19345,Postal Code,
10K ZIP Campaign - 2025-12-05,19351,Postal Code,
10K ZIP Campaign - 2025-12-05,19353,Postal Code,
10K ZIP Campaign - 2025-12-05,19357,Postal Code,
10K ZIP Campaign - 2025-12-05,19372,Postal Code,
10K ZIP Campaign - 2025-12-05,19376,Postal Code,
10K ZIP Campaign - 2025-12-05,19378,Postal Code,
10K ZIP Campaign - 2025-12-05,19401,Postal Code,
10K ZIP Campaign - 2025-12-05,19404,Postal Code,
10K ZIP Campaign - 2025-12-05,19420,Postal Code,
10K ZIP Campaign - 2025-12-05,19450,Postal Code,
10K ZIP Campaign - 2025-12-05,19456,Postal Code,
10K ZIP Campaign - 2025-12-05,19463,Postal Code,
10K ZIP Campaign - 2025-12-05,19467,Postal Code,
10K ZIP Campaign - 2025-12-05,19469,Postal Code,
10K ZIP Campaign - 2025-12-05,19491,Postal Code,
10K ZIP Campaign - 2025-12-05,19496,Postal Code,
10K ZIP Campaign - 2025-12-05,19501,Postal Code,
10K ZIP Campaign - 2025-12-05,19515,Postal Code,
10K ZIP Campaign - 2025-12-05,19535,Postal Code,
10K ZIP Campaign - 2025-12-05,19564,Postal Code,
10K ZIP Campaign - 2025-12-05,19573,Postal Code,
10K ZIP Campaign - 2025-12-05,19574,Postal Code,
10K ZIP Campaign - 2025-12-05,19579,Postal Code,
10K ZIP Campaign - 2025-12-05,19581,Postal Code,
10K ZIP Campaign - 2025-12-05,19590,Postal Code,
10K ZIP Campaign - 2025-12-05,19603,Postal Code,
10K ZIP Campaign - 2025-12-05,19612,Postal Code,
10K ZIP Campaign - 2025-12-05,19620,Postal Code,
10K ZIP Campaign - 2025-12-05,19624,Postal Code,
10K ZIP Campaign - 2025-12-05,19646,Postal Code,
10K ZIP Campaign - 2025-12-05,19650,Postal Code,
10K ZIP Campaign - 2025-12-05,19658,Postal Code,
10K ZIP Campaign - 2025-12-05,19663,Postal Code,
10K ZIP Campaign - 2025-12-05,19666,Postal Code,
10K ZIP Campaign - 2025-12-05,19667,Postal Code,
10K ZIP Campaign - 2025-12-05,19672,Postal Code,
10K ZIP Campaign - 2025-12-05,19677,Postal Code,
10K ZIP Campaign - 2025-12-05,19688,Postal Code,
10K ZIP Campaign - 2025-12-05,19733,Postal Code,
10K ZIP Campaign - 2025-12-05,19736,Postal Code,
10K ZIP Campaign - 2025-12-05,19750,Postal Code,
10K ZIP Campaign - 2025-12-05,19761,Postal Code,
10K ZIP Campaign - 2025-12-05,19772,Postal Code,
10K ZIP Campaign - 2025-12-05,19783,Postal Code,
10K ZIP Campaign - 2025-12-05,19789,Postal Code,
10K ZIP Campaign - 2025-12-05,19791,Postal Code,
10K ZIP Campaign - 2025-12-05,19801,Postal Code,
10K ZIP Campaign - 2025-12-05,19818,Postal Code,
10K ZIP Campaign - 2025-12-05,19820,Postal Code,
10K ZIP Campaign - 2025-12-05,19832,Postal Code,
10K ZIP Campaign - 2025-12-05,19842,Postal Code,
10K ZIP Campaign - 2025-12-05,19843,Postal Code,
10K ZIP Campaign - 2025-12-05,19879,Postal Code,
10K ZIP Campaign - 2025-12-05,19901,Postal Code,
10K ZIP Campaign - 2025-12-05,19905,Postal Code,
10K ZIP Campaign - 2025-12-05,19908,Postal Code,
10K ZIP Campaign - 2025-12-05,19916,Postal Code,
10K ZIP Campaign - 2025-12-05,19921,Postal Code,
10K ZIP Campaign - 2025-12-05,19929,Postal Code,
10K ZIP Campaign - 2025-12-05,19936,Postal Code,
10K ZIP Campaign - 2025-12-05,19946,Postal Code,
10K ZIP Campaign - 2025-12-05,19964,Postal Code,
10K ZIP Campaign - 2025-12-05,19966,Postal Code,
10K ZIP Campaign - 2025-12-05,19975,Postal Code,
10K ZIP Campaign - 2025-12-05,19978,Postal Code,
10K ZIP Campaign - 2025-12-05,19982,Postal Code,
10K ZIP Campaign - 2025-12-05,19983,Postal Code,
10K ZIP Campaign - 2025-12-05,20000,Postal Code,
10K ZIP Campaign - 2025-12-05,20007,Postal Code,
10K ZIP Campaign - 2025-12-05,20010,Postal Code,
10K ZIP Campaign - 2025-12-05,20014,Postal Code,
10K ZIP Campaign - 2025-12-05,20034,Postal Code,
10K ZIP Campaign - 2025-12-05,20041,Postal Code,
10K ZIP Campaign - 2025-12-05,20061,Postal Code,
10K ZIP Campaign - 2025-12-05,20073,Postal Code,
10K ZIP Campaign - 2025-12-05,20083,Postal Code,
10K ZIP Campaign - 2025-12-05,20094,Postal Code,
10K ZIP Campaign - 2025-12-05,20097,Postal Code,
10K ZIP Campaign - 2025-12-05,20108,Postal Code,
10K ZIP Campaign - 2025-12-05,20120,Postal Code,
10K ZIP Campaign - 2025-12-05,20130,Postal Code,
10K ZIP Campaign - 2025-12-05,20151,Postal Code,
10K ZIP Campaign - 2025-12-05,20158,Postal Code,
10K ZIP Campaign - 2025-12-05,20168,Postal Code,
10K ZIP Campaign - 2025-12-05,20174,Postal Code,
10K ZIP Campaign - 2025-12-05,20177,Postal Code,
10K ZIP Campaign - 2025-12-05,20197,Postal Code,
10K ZIP Campaign - 2025-12-05,20203,Postal Code,
10K ZIP Campaign - 2025-12-05,20243,Postal Code,
10K ZIP Campaign - 2025-12-05,20250,Postal Code,
10K ZIP Campaign - 2025-12-05,20258,Postal Code,
10K ZIP Campaign - 2025-12-05,20267,Postal Code,
10K ZIP Campaign - 2025-12-05,20275,Postal Code,
10K ZIP Campaign - 2025-12-05,20278,Postal Code,
10K ZIP Campaign - 2025-12-05,20279,Postal Code,
10K ZIP Campaign - 2025-12-05,20300,Postal Code,
10K ZIP Campaign - 2025-12-05,20303,Postal Code,
10K ZIP Campaign - 2025-12-05,20314,Postal Code,
10K ZIP Campaign - 2025-12-05,20317,Postal Code,
10K ZIP Campaign - 2025-12-05,20321,Postal Code,
10K ZIP Campaign - 2025-12-05,20327,Postal Code,
10K ZIP Campaign - 2025-12-05,20351,Postal Code,
10K ZIP Campaign - 2025-12-05,20352,Postal Code,
10K ZIP Campaign - 2025-12-05,20363,Postal Code,
10K ZIP Campaign - 2025-12-05,20399,Postal Code,
10K ZIP Campaign - 2025-12-05,20401,Postal Code,
10K ZIP Campaign - 2025-12-05,20404,Postal Code,
10K ZIP Campaign - 2025-12-05,20405,Postal Code,
10K ZIP Campaign - 2025-12-05,20412,Postal Code,
10K ZIP Campaign - 2025-12-05,20419,Postal Code,
10K ZIP Campaign - 2025-12-05,20424,Postal Code,
10K ZIP Campaign - 2025-12-05,20427,Postal Code,
10K ZIP Campaign - 2025-12-05,20433,Postal Code,
10K ZIP Campaign - 2025-12-05,20455,Postal Code,
10K ZIP Campaign - 2025-12-05,20462,Postal Code,
10K ZIP Campaign - 2025-12-05,20481,Postal Code,
10K ZIP Campaign - 2025-12-05,20495,Postal Code,
10K ZIP Campaign - 2025-12-05,20502,Postal Code,
10K ZIP Campaign - 2025-12-05,20537,Postal Code,
10K ZIP Campaign - 2025-12-05,20543,Postal Code,
10K ZIP Campaign - 2025-12-05,20559,Postal Code,
10K ZIP Campaign - 2025-12-05,20575,Postal Code,
10K ZIP Campaign - 2025-12-05,20576,Postal Code,
10K ZIP Campaign - 2025-12-05,20586,Postal Code,
10K ZIP Campaign - 2025-12-05,20592,Postal Code,
10K ZIP Campaign - 2025-12-05,20602,Postal Code,
10K ZIP Campaign - 2025-12-05,20607,Postal Code,
10K ZIP Campaign - 2025-12-05,20643,Postal Code,
10K ZIP Campaign - 2025-12-05,20650,Postal Code,
10K ZIP Campaign - 2025-12-05,20654,Postal Code,
